M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
2.0|2.0|2.0|128.0|813789.0|14961.0|547995894.0
2.0|2.0|4.0|128.0|813789.0|9974.0|547995894.0
2.0|2.0|8.0|128.0|813789.0|10970.0|547995894.0
2.0|2.0|16.0|128.0|813789.0|9974.0|547995894.0
2.0|2.0|32.0|128.0|813789.0|10971.0|547995894.0
2.0|4.0|2.0|140.0|2553.0|5985.0|547995894.0
2.0|4.0|4.0|140.0|2553.0|8976.0|547995894.0
2.0|4.0|8.0|140.0|2553.0|8976.0|547995894.0
2.0|4.0|16.0|140.0|2553.0|9974.0|547995894.0
2.0|4.0|32.0|140.0|2553.0|6981.0|547995894.0
2.0|8.0|2.0|143.0|225697.0|5984.0|547995894.0
2.0|8.0|4.0|143.0|225697.0|8977.0|547995894.0
2.0|8.0|8.0|143.0|225697.0|5985.0|547995894.0
2.0|8.0|16.0|143.0|225697.0|6543.0|547995894.0
2.0|8.0|32.0|143.0|225697.0|7981.0|547995894.0
2.0|16.0|2.0|142.0|987008.0|5985.0|547995894.0
2.0|16.0|4.0|142.0|987008.0|9974.0|547995894.0
2.0|16.0|8.0|142.0|987008.0|10970.0|547995894.0
2.0|16.0|16.0|142.0|987008.0|11790.0|547995894.0
2.0|16.0|32.0|142.0|987008.0|11968.0|547995894.0
2.0|32.0|2.0|137.0|297161.0|14388.0|547995894.0
2.0|32.0|4.0|137.0|297161.0|16917.0|547995894.0
2.0|32.0|8.0|137.0|297161.0|16955.0|547995894.0
2.0|32.0|16.0|137.0|297161.0|12966.0|547995894.0
2.0|32.0|32.0|137.0|297161.0|13315.0|547995894.0
4.0|2.0|2.0|454.0|385942.0|11967.0|561329742.0
4.0|2.0|4.0|454.0|385942.0|9974.0|561329742.0
4.0|2.0|8.0|454.0|385942.0|14962.0|561329742.0
4.0|2.0|16.0|454.0|385942.0|10971.0|561329742.0
4.0|2.0|32.0|454.0|385942.0|16366.0|561329742.0
4.0|4.0|2.0|433.0|623933.0|27924.0|561329742.0
4.0|4.0|4.0|433.0|623933.0|21942.0|561329742.0
4.0|4.0|8.0|433.0|623933.0|21946.0|561329742.0
4.0|4.0|16.0|433.0|623933.0|24934.0|561329742.0
4.0|4.0|32.0|433.0|623933.0|29471.0|561329742.0
4.0|8.0|2.0|447.0|286217.0|19946.0|561329742.0
4.0|8.0|4.0|447.0|286217.0|18892.0|561329742.0
4.0|8.0|8.0|447.0|286217.0|18951.0|561329742.0
4.0|8.0|16.0|447.0|286217.0|21941.0|561329742.0
4.0|8.0|32.0|447.0|286217.0|17951.0|561329742.0
4.0|16.0|2.0|450.0|22606.0|18950.0|561329742.0
4.0|16.0|4.0|450.0|22606.0|24934.0|561329742.0
4.0|16.0|8.0|450.0|22606.0|34462.0|561329742.0
4.0|16.0|16.0|450.0|22606.0|24694.0|561329742.0
4.0|16.0|32.0|450.0|22606.0|17762.0|561329742.0
4.0|32.0|2.0|462.0|339378.0|17952.0|561329742.0
4.0|32.0|4.0|462.0|339378.0|17952.0|561329742.0
4.0|32.0|8.0|462.0|339378.0|14960.0|561329742.0
4.0|32.0|16.0|462.0|339378.0|14960.0|561329742.0
4.0|32.0|32.0|462.0|339378.0|17953.0|561329742.0
8.0|2.0|2.0|694.0|347717.0|15370.0|592566706.0
8.0|2.0|4.0|694.0|347717.0|30250.0|592566706.0
8.0|2.0|8.0|694.0|347717.0|26162.0|592566706.0
8.0|2.0|16.0|694.0|347717.0|24933.0|592566706.0
8.0|2.0|32.0|694.0|347717.0|22939.0|592566706.0
8.0|4.0|2.0|696.0|944369.0|32611.0|592566706.0
8.0|4.0|4.0|696.0|944369.0|38630.0|592566706.0
8.0|4.0|8.0|696.0|944369.0|27375.0|592566706.0
8.0|4.0|16.0|696.0|944369.0|26930.0|592566706.0
8.0|4.0|32.0|696.0|944369.0|47983.0|592566706.0
8.0|8.0|2.0|691.0|581875.0|19393.0|592566706.0
8.0|8.0|4.0|691.0|581875.0|19914.0|592566706.0
8.0|8.0|8.0|691.0|581875.0|18461.0|592566706.0
8.0|8.0|16.0|691.0|581875.0|21336.0|592566706.0
8.0|8.0|32.0|691.0|581875.0|21941.0|592566706.0
8.0|16.0|2.0|691.0|180016.0|28148.0|592566706.0
8.0|16.0|4.0|691.0|180016.0|20301.0|592566706.0
8.0|16.0|8.0|691.0|180016.0|20121.0|592566706.0
8.0|16.0|16.0|691.0|180016.0|21318.0|592566706.0
8.0|16.0|32.0|691.0|180016.0|26770.0|592566706.0
8.0|32.0|2.0|688.0|957760.0|19916.0|592566706.0
8.0|32.0|4.0|688.0|957760.0|23932.0|592566706.0
8.0|32.0|8.0|688.0|957760.0|23061.0|592566706.0
8.0|32.0|16.0|688.0|957760.0|19723.0|592566706.0
8.0|32.0|32.0|688.0|957760.0|18950.0|592566706.0
16.0|2.0|2.0|785.0|231255.0|26797.0|656258362.0
16.0|2.0|4.0|785.0|231255.0|44532.0|656258362.0
16.0|2.0|8.0|785.0|231255.0|34048.0|656258362.0
16.0|2.0|16.0|785.0|231255.0|27922.0|656258362.0
16.0|2.0|32.0|785.0|231255.0|34910.0|656258362.0
16.0|4.0|2.0|778.0|550184.0|27683.0|656258362.0
16.0|4.0|4.0|778.0|550184.0|39893.0|656258362.0
16.0|4.0|8.0|778.0|550184.0|27925.0|656258362.0
16.0|4.0|16.0|778.0|550184.0|28922.0|656258362.0
16.0|4.0|32.0|778.0|550184.0|30916.0|656258362.0
16.0|8.0|2.0|788.0|474764.0|31458.0|656258362.0
16.0|8.0|4.0|788.0|474764.0|30918.0|656258362.0
16.0|8.0|8.0|788.0|474764.0|26865.0|656258362.0
16.0|8.0|16.0|788.0|474764.0|33074.0|656258362.0
16.0|8.0|32.0|788.0|474764.0|33558.0|656258362.0
16.0|16.0|2.0|780.0|277104.0|32266.0|656258362.0
16.0|16.0|4.0|780.0|277104.0|27036.0|656258362.0
16.0|16.0|8.0|780.0|277104.0|70532.0|656258362.0
16.0|16.0|16.0|780.0|277104.0|35880.0|656258362.0
16.0|16.0|32.0|780.0|277104.0|40577.0|656258362.0
16.0|32.0|2.0|791.0|983382.0|33989.0|656258362.0
16.0|32.0|4.0|791.0|983382.0|28199.0|656258362.0
16.0|32.0|8.0|791.0|983382.0|31900.0|656258362.0
16.0|32.0|16.0|791.0|983382.0|25760.0|656258362.0
16.0|32.0|32.0|791.0|983382.0|30523.0|656258362.0
32.0|2.0|2.0|914.0|490626.0|47879.0|784129506.0
32.0|2.0|4.0|914.0|490626.0|57641.0|784129506.0
32.0|2.0|8.0|914.0|490626.0|53588.0|784129506.0
32.0|2.0|16.0|914.0|490626.0|70728.0|784129506.0
32.0|2.0|32.0|914.0|490626.0|64116.0|784129506.0
32.0|4.0|2.0|909.0|274555.0|61187.0|784129506.0
32.0|4.0|4.0|909.0|274555.0|63659.0|784129506.0
32.0|4.0|8.0|909.0|274555.0|55212.0|784129506.0
32.0|4.0|16.0|909.0|274555.0|65082.0|784129506.0
32.0|4.0|32.0|909.0|274555.0|70324.0|784129506.0
32.0|8.0|2.0|900.0|347910.0|68406.0|784129506.0
32.0|8.0|4.0|900.0|347910.0|90276.0|784129506.0
32.0|8.0|8.0|900.0|347910.0|72656.0|784129506.0
32.0|8.0|16.0|900.0|347910.0|96484.0|784129506.0
32.0|8.0|32.0|900.0|347910.0|82868.0|784129506.0
32.0|16.0|2.0|905.0|567843.0|55851.0|784129506.0
32.0|16.0|4.0|905.0|567843.0|62111.0|784129506.0
32.0|16.0|8.0|905.0|567843.0|64187.0|784129506.0
32.0|16.0|16.0|905.0|567843.0|68282.0|784129506.0
32.0|16.0|32.0|905.0|567843.0|59145.0|784129506.0
32.0|32.0|2.0|910.0|475987.0|58739.0|784129506.0
32.0|32.0|4.0|910.0|475987.0|69825.0|784129506.0
32.0|32.0|8.0|910.0|475987.0|56707.0|784129506.0
32.0|32.0|16.0|910.0|475987.0|53797.0|784129506.0
32.0|32.0|32.0|910.0|475987.0|64905.0|784129506.0
64.0|2.0|2.0|942.0|217507.0|104021.0|1040062422.0
64.0|2.0|4.0|942.0|217507.0|120202.0|1040062422.0
64.0|2.0|8.0|942.0|217507.0|123513.0|1040062422.0
64.0|2.0|16.0|942.0|217507.0|117869.0|1040062422.0
64.0|2.0|32.0|942.0|217507.0|134836.0|1040062422.0
64.0|4.0|2.0|936.0|199424.0|131468.0|1040062422.0
64.0|4.0|4.0|936.0|199424.0|138336.0|1040062422.0
64.0|4.0|8.0|936.0|199424.0|137754.0|1040062422.0
64.0|4.0|16.0|936.0|199424.0|136086.0|1040062422.0
64.0|4.0|32.0|936.0|199424.0|136635.0|1040062422.0
64.0|8.0|2.0|936.0|740892.0|70745.0|1040062422.0
64.0|8.0|4.0|936.0|740892.0|103667.0|1040062422.0
64.0|8.0|8.0|936.0|740892.0|90295.0|1040062422.0
64.0|8.0|16.0|936.0|740892.0|81872.0|1040062422.0
64.0|8.0|32.0|936.0|740892.0|90756.0|1040062422.0
64.0|16.0|2.0|938.0|860198.0|88798.0|1040062422.0
64.0|16.0|4.0|938.0|860198.0|89760.0|1040062422.0
64.0|16.0|8.0|938.0|860198.0|74800.0|1040062422.0
64.0|16.0|16.0|938.0|860198.0|82780.0|1040062422.0
64.0|16.0|32.0|938.0|860198.0|75968.0|1040062422.0
64.0|32.0|2.0|934.0|827476.0|86172.0|1040062422.0
64.0|32.0|4.0|934.0|827476.0|100209.0|1040062422.0
64.0|32.0|8.0|934.0|827476.0|110704.0|1040062422.0
64.0|32.0|16.0|934.0|827476.0|102267.0|1040062422.0
64.0|32.0|32.0|934.0|827476.0|121046.0|1040062422.0
128.0|2.0|2.0|943.0|813640.0|119165.0|1552018390.0
128.0|2.0|4.0|943.0|813640.0|105546.0|1552018390.0
128.0|2.0|8.0|943.0|813640.0|102918.0|1552018390.0
128.0|2.0|16.0|943.0|813640.0|103254.0|1552018390.0
128.0|2.0|32.0|943.0|813640.0|94746.0|1552018390.0
128.0|4.0|2.0|945.0|367819.0|101631.0|1552018390.0
128.0|4.0|4.0|945.0|367819.0|97008.0|1552018390.0
128.0|4.0|8.0|945.0|367819.0|104066.0|1552018390.0
128.0|4.0|16.0|945.0|367819.0|126686.0|1552018390.0
128.0|4.0|32.0|945.0|367819.0|104430.0|1552018390.0
128.0|8.0|2.0|948.0|70734.0|91756.0|1552018390.0
128.0|8.0|4.0|948.0|70734.0|101724.0|1552018390.0
128.0|8.0|8.0|948.0|70734.0|104723.0|1552018390.0
128.0|8.0|16.0|948.0|70734.0|106715.0|1552018390.0
128.0|8.0|32.0|948.0|70734.0|95745.0|1552018390.0
128.0|16.0|2.0|947.0|279191.0|141927.0|1552018390.0
128.0|16.0|4.0|947.0|279191.0|104892.0|1552018390.0
128.0|16.0|8.0|947.0|279191.0|97957.0|1552018390.0
128.0|16.0|16.0|947.0|279191.0|93748.0|1552018390.0
128.0|16.0|32.0|947.0|279191.0|93747.0|1552018390.0
128.0|32.0|2.0|946.0|910064.0|227949.0|1552018390.0
128.0|32.0|4.0|946.0|910064.0|239750.0|1552018390.0
128.0|32.0|8.0|946.0|910064.0|217258.0|1552018390.0
128.0|32.0|16.0|946.0|910064.0|215425.0|1552018390.0
128.0|32.0|32.0|946.0|910064.0|227377.0|1552018390.0
2.0|2.0|2.0|138.0|485402.0|16945.0|547995894.0
2.0|2.0|4.0|138.0|485402.0|12966.0|547995894.0
2.0|2.0|8.0|138.0|485402.0|6980.0|547995894.0
2.0|2.0|16.0|138.0|485402.0|13963.0|547995894.0
2.0|2.0|32.0|138.0|485402.0|10558.0|547995894.0
2.0|4.0|2.0|153.0|321645.0|8969.0|547995894.0
2.0|4.0|4.0|153.0|321645.0|9972.0|547995894.0
2.0|4.0|8.0|153.0|321645.0|12966.0|547995894.0
2.0|4.0|16.0|153.0|321645.0|16751.0|547995894.0
2.0|4.0|32.0|153.0|321645.0|6980.0|547995894.0
2.0|8.0|2.0|146.0|463482.0|5944.0|547995894.0
2.0|8.0|4.0|146.0|463482.0|11968.0|547995894.0
2.0|8.0|8.0|146.0|463482.0|11967.0|547995894.0
2.0|8.0|16.0|146.0|463482.0|11969.0|547995894.0
2.0|8.0|32.0|146.0|463482.0|11968.0|547995894.0
2.0|16.0|2.0|148.0|282853.0|9936.0|547995894.0
2.0|16.0|4.0|148.0|282853.0|7979.0|547995894.0
2.0|16.0|8.0|148.0|282853.0|8863.0|547995894.0
2.0|16.0|16.0|148.0|282853.0|9973.0|547995894.0
2.0|16.0|32.0|148.0|282853.0|12967.0|547995894.0
2.0|32.0|2.0|130.0|748244.0|9972.0|547995894.0
2.0|32.0|4.0|130.0|748244.0|14963.0|547995894.0
2.0|32.0|8.0|130.0|748244.0|7489.0|547995894.0
2.0|32.0|16.0|130.0|748244.0|6981.0|547995894.0
2.0|32.0|32.0|130.0|748244.0|6062.0|547995894.0
4.0|2.0|2.0|449.0|195603.0|16920.0|561329742.0
4.0|2.0|4.0|449.0|195603.0|16955.0|561329742.0
4.0|2.0|8.0|449.0|195603.0|11971.0|561329742.0
4.0|2.0|16.0|449.0|195603.0|18949.0|561329742.0
4.0|2.0|32.0|449.0|195603.0|16954.0|561329742.0
4.0|4.0|2.0|458.0|378999.0|22152.0|561329742.0
4.0|4.0|4.0|458.0|378999.0|26928.0|561329742.0
4.0|4.0|8.0|458.0|378999.0|26928.0|561329742.0
4.0|4.0|16.0|458.0|378999.0|23191.0|561329742.0
4.0|4.0|32.0|458.0|378999.0|28923.0|561329742.0
4.0|8.0|2.0|436.0|820380.0|17627.0|561329742.0
4.0|8.0|4.0|436.0|820380.0|17951.0|561329742.0
4.0|8.0|8.0|436.0|820380.0|18935.0|561329742.0
4.0|8.0|16.0|436.0|820380.0|18987.0|561329742.0
4.0|8.0|32.0|436.0|820380.0|18949.0|561329742.0
4.0|16.0|2.0|441.0|509990.0|13100.0|561329742.0
4.0|16.0|4.0|441.0|509990.0|17949.0|561329742.0
4.0|16.0|8.0|441.0|509990.0|16955.0|561329742.0
4.0|16.0|16.0|441.0|509990.0|15391.0|561329742.0
4.0|16.0|32.0|441.0|509990.0|16956.0|561329742.0
4.0|32.0|2.0|448.0|166437.0|13925.0|561329742.0
4.0|32.0|4.0|448.0|166437.0|16954.0|561329742.0
4.0|32.0|8.0|448.0|166437.0|20902.0|561329742.0
4.0|32.0|16.0|448.0|166437.0|14398.0|561329742.0
4.0|32.0|32.0|448.0|166437.0|16954.0|561329742.0
8.0|2.0|2.0|687.0|297947.0|40892.0|592566706.0
8.0|2.0|4.0|687.0|297947.0|41240.0|592566706.0
8.0|2.0|8.0|687.0|297947.0|46082.0|592566706.0
8.0|2.0|16.0|687.0|297947.0|54854.0|592566706.0
8.0|2.0|32.0|687.0|297947.0|51083.0|592566706.0
8.0|4.0|2.0|690.0|129559.0|23196.0|592566706.0
8.0|4.0|4.0|690.0|129559.0|31011.0|592566706.0
8.0|4.0|8.0|690.0|129559.0|20944.0|592566706.0
8.0|4.0|16.0|690.0|129559.0|29835.0|592566706.0
8.0|4.0|32.0|690.0|129559.0|27925.0|592566706.0
8.0|8.0|2.0|681.0|559501.0|30660.0|592566706.0
8.0|8.0|4.0|681.0|559501.0|22941.0|592566706.0
8.0|8.0|8.0|681.0|559501.0|23936.0|592566706.0
8.0|8.0|16.0|681.0|559501.0|22316.0|592566706.0
8.0|8.0|32.0|681.0|559501.0|30802.0|592566706.0
8.0|16.0|2.0|678.0|259496.0|26926.0|592566706.0
8.0|16.0|4.0|678.0|259496.0|24933.0|592566706.0
8.0|16.0|8.0|678.0|259496.0|27323.0|592566706.0
8.0|16.0|16.0|678.0|259496.0|31914.0|592566706.0
8.0|16.0|32.0|678.0|259496.0|18942.0|592566706.0
8.0|32.0|2.0|693.0|478351.0|19944.0|592566706.0
8.0|32.0|4.0|693.0|478351.0|18949.0|592566706.0
8.0|32.0|8.0|693.0|478351.0|30499.0|592566706.0
8.0|32.0|16.0|693.0|478351.0|19699.0|592566706.0
8.0|32.0|32.0|693.0|478351.0|19948.0|592566706.0
16.0|2.0|2.0|793.0|503438.0|65802.0|656258362.0
16.0|2.0|4.0|793.0|503438.0|94746.0|656258362.0
16.0|2.0|8.0|793.0|503438.0|67818.0|656258362.0
16.0|2.0|16.0|793.0|503438.0|58843.0|656258362.0
16.0|2.0|32.0|793.0|503438.0|52009.0|656258362.0
16.0|4.0|2.0|780.0|151004.0|26438.0|656258362.0
16.0|4.0|4.0|780.0|151004.0|37898.0|656258362.0
16.0|4.0|8.0|780.0|151004.0|43883.0|656258362.0
16.0|4.0|16.0|780.0|151004.0|38897.0|656258362.0
16.0|4.0|32.0|780.0|151004.0|42883.0|656258362.0
16.0|8.0|2.0|777.0|907869.0|23312.0|656258362.0
16.0|8.0|4.0|777.0|907869.0|24932.0|656258362.0
16.0|8.0|8.0|777.0|907869.0|59839.0|656258362.0
